,Unnamed: 0,pin average impedances 10044,cartridge_to_cartridge_pin_variation 10044,pin average impedances 00000004,cartridge_to_cartridge_pin_variation 00000004,pin average impedances 10045,cartridge_to_cartridge_pin_variation 10045,pin average impedances 47,cartridge_to_cartridge_pin_variation 47,Lower Bound 10044,Lower Bound 00000004,Lower Bound 10045,Lower Bound 47
22,22,1075.55183193,9.85687586624,1365.16571681,11.9453862374,1094.82894898,12.5134516164,1206.9649231,11.4266197083,976.983073268,1245.71185444,969.694432816,1092.69872602
23,23,1101.16656385,10.9964228698,1397.88263957,13.1683532957,1123.99363327,13.1278318768,1229.61739197,12.3439301619,991.202335152,1266.19910661,992.715314502,1106.17809035
24,24,509.947014945,11.4827505551,850.222604116,11.327328189,528.764033318,15.638799962,620.112115479,13.4659854822,395.119509394,736.949322226,372.376033698,485.452260657
25,25,1032.04261126,9.37475484599,1331.74678294,10.5982547001,1036.75367737,10.2493100002,1164.17504272,11.03610445,938.2950628,1225.76423594,934.260577368,1053.81399822
26,26,432.028687068,11.9752623282,764.263950984,9.77699603713,454.307351112,16.8853212588,524.657835388,9.06025161475,312.276063786,666.493990613,285.454138524,434.055319241
27,27,463.655443737,13.087866516,798.539029439,11.4753710656,491.782151222,16.8575244367,575.290501404,14.2084034401,332.776778577,683.785318783,323.206906855,433.206467003
28,28,449.553734371,8.65557210986,801.074869792,9.74998510195,465.529327393,11.2736597342,557.496974182,15.1171049222,362.998013272,703.575018772,352.792730051,406.32592496
29,29,468.167280197,10.3925422252,806.628337224,11.141304743,489.362407684,15.1764585047,562.89331665,12.0999659827,364.241857945,695.215289794,337.597822637,441.893656823
30,30,426.623758044,10.1038425587,768.19480896,8.83663519826,446.852024078,11.977984924,538.451966858,16.8925252268,325.585332457,679.828456977,327.072174838,369.52671459
31,31,430.643965585,9.87878358649,775.100594838,10.3074627733,453.835374832,13.6747815903,543.932348633,14.748918144,331.85612972,672.025967105,317.087558929,396.443167193
32,32,616.14428057,6.89883253931,954.391897837,10.1574805237,635.014341354,12.0217091573,743.943742371,16.730827571,547.155955177,852.8170926,514.797249781,576.635466661
33,33,454.338371822,8.79589988227,812.504991531,10.2942064851,473.679030418,11.936672955,571.233079529,14.5974877372,366.379372999,709.56292668,354.312300868,425.258202157
34,34,533.002997262,7.30219592278,881.182348887,8.50411169611,560.257778168,14.5521534509,662.334498596,14.7150824149,459.981038034,796.141231926,414.736243659,515.183674447
35,35,420.905091422,8.50257993172,789.989138921,9.97389874335,447.020624161,11.1381999369,545.345198059,15.6457808176,335.879292105,690.250151488,335.638624792,388.887389883
36,36,598.281060355,6.88633396137,951.772993724,9.08387496593,623.386732101,15.5487495624,739.269290161,12.9690686898,529.417720741,860.934244065,467.899236477,609.578603263
37,37,483.037093571,7.49194312875,829.708185196,9.79531380152,491.359539986,9.04609589282,587.388406372,11.7416710165,408.117662283,731.755047181,400.898581058,469.971696207
38,38,564.521274022,7.47833308339,892.589653651,8.82034877773,597.91295433,13.4177230208,659.354695129,8.62882236204,489.737943188,804.386165874,463.735724122,573.066471509
39,39,535.903177534,7.12264571359,870.900301615,9.4238210626,560.310003281,12.6975125937,634.555432129,11.5672065545,464.676720398,776.662090989,433.334877344,518.883366584
40,40,425.770593098,8.04716525643,778.807074229,8.05874196253,441.432671547,7.95767380435,539.342654419,8.9765863543,345.298940534,698.219654604,361.855933503,449.576790876
41,41,432.094266347,7.14326715104,799.065134048,8.45193648383,458.161242485,10.5152055581,562.539526367,9.74890370447,360.661594837,714.54576921,353.009186904,465.050489322
42,42,395.439377376,7.67569713597,749.012287776,6.52450157024,418.263212204,10.9482859441,512.71627655,10.1055825816,318.682406016,683.767272074,308.780352763,411.660450734
43,43,402.611311231,7.62289447722,763.046608607,6.82478021084,425.133612633,10.7359913678,524.523377228,11.369045312,326.382366459,694.798806499,317.773698955,410.832924108
44,44,489.424612045,9.93794314812,832.576945623,10.8841548677,508.888175011,15.1247853574,599.27015686,4.65568168111,390.045180564,723.735396946,357.640321437,552.713340049
45,45,443.067613602,9.8381506598,797.472625097,10.089909942,462.259542465,10.9522530398,557.176861572,8.43040058668,344.686107004,696.573525677,352.737012067,472.872855705
46,46,556.215904236,10.556075232,930.874214808,9.98065985199,581.101644516,19.8028010273,699.563865662,7.89103346742,450.655151916,831.067616288,383.073634243,620.653530988
47,47,400.890384129,8.89834155011,762.118206024,9.88972069274,424.74066639,13.8403251561,515.730886841,5.90051502523,311.906968628,663.220999097,286.337414829,456.725736589
48,48,639.57069179,12.7555709125,975.014291763,11.8021293175,661.248298645,20.3382017703,766.239033508,6.2120636433,512.014982665,856.992998588,457.866280942,704.118397075
49,49,510.287598746,11.8028119823,853.683245341,10.9305607033,525.833114624,13.6165236547,612.516159058,6.71035889598,392.259478923,744.377638308,389.667878077,545.412570098
50,50,418.82025419,10.7002759416,772.222099304,9.50181551473,440.630642891,15.4425639685,521.861618805,5.37642068068,311.817494774,677.203944157,286.205003206,468.097411998
51,51,599.938050406,10.9434284105,961.646190007,10.9275574257,624.928632736,16.7573374417,727.343696594,8.83842853347,490.503766301,852.37061575,457.355258319,638.959411259
52,52,645.336585454,11.6421910662,963.364615758,10.5622187316,665.211116791,21.0892802336,745.664961243,7.55580773665,528.914674792,857.742428442,454.318314455,670.106883876
53,53,657.160524641,12.2226560622,991.536265055,12.3915225141,683.095384598,22.0678300445,785.381278992,10.2079262885,534.933964019,867.621039914,462.417084153,683.302016107
54,54,536.714065007,11.8049799281,871.025922139,9.24866952254,560.917020798,20.0664686668,636.100338745,4.92279637517,418.664265726,778.539226914,360.25233413,586.872374993
55,55,488.009537833,12.7777633072,819.987226486,9.25137289371,527.665639877,30.0744567129,587.130276489,6.69409266544,360.231904761,727.473497549,226.921072748,520.189349835
56,56,496.787346159,21.1481047271,857.232350032,15.3901725712,512.334592819,19.5698321344,640.209332276,30.6928311573,285.306298888,703.33062432,316.636271475,333.281020703
57,57,619.559749603,11.7406367041,978.596840541,12.5417008451,640.49184227,20.1450629785,760.369644165,10.2798791622,502.153382562,853.17983209,439.041212485,657.570852543
58,58,441.007581711,12.0008339889,806.265719732,9.43021326088,459.978709221,17.2607982539,570.437023926,6.32329458369,320.999241822,711.963587123,287.370726682,507.204078089
59,59,434.777935028,10.2896510085,804.119855245,10.2759370645,456.514249802,18.7276717952,574.70615387,20.82210701,331.881424943,701.3604846,269.23753185,366.48508377
60,60,449.003227779,13.2182978248,797.157853444,8.64501257625,466.955026627,17.7888406434,554.519561768,6.08361328087,316.820249531,710.707727681,289.066620193,493.683428959
61,61,438.430212634,100.902458448,808.355335871,8.23081666543,469.157105446,18.9758231998,573.340133667,6.63412227127,-570.594371846,726.047169217,279.398873448,506.998910954
62,62,434.391579764,16.5225027174,794.543100993,8.16777804456,452.774244308,18.3068219792,549.365473938,9.37476862565,269.16655259,712.865320547,269.706024516,455.617787682
63,63,425.980099269,22.052177846,785.497748693,8.31230497562,441.935487747,18.8146938623,541.018096924,8.72452228813,205.458320809,702.374698937,253.788549124,453.772874043
64,64,551.026264736,12.4952392105,876.831679662,9.50765319654,563.685152054,16.6312649942,654.272921753,11.3273830877,426.073872631,781.755147697,397.372502112,540.999090876
65,65,476.658442633,10.7833449003,816.960481008,10.3242005482,491.788212776,17.1032173232,584.073789978,10.018039526,368.82499363,713.718475526,320.756039544,483.893394718
66,66,450.769983564,11.563376857,799.934894562,10.1125808934,467.623345375,17.0627847284,557.478517151,7.05859951173,335.136214994,698.809085628,296.995498091,486.892522034
67,67,437.571498326,12.0468343601,794.194762548,8.2926154965,454.984592438,13.9060503232,553.436534119,7.9348833181,317.103154725,711.268607583,315.924089206,474.087700938
68,68,519.181414195,11.9488077944,852.326709112,10.8666514522,534.055625916,11.3596428957,621.904672241,4.93376817239,399.693336251,743.66019459,420.459196959,572.566990517
69,69,502.960686002,12.0899579954,842.793690999,12.170443655,518.281793594,14.6216915518,607.252658081,7.66318792634,382.061106048,721.089254449,372.064878076,530.620778818
70,70,654.990364075,29.8810076874,984.060031891,10.9184144848,668.591321945,13.9216676964,762.042634583,10.3005315996,356.180287201,874.875887043,529.374644981,659.037318587
71,71,533.661676134,18.1185830081,879.276954015,10.3911384065,545.194038391,14.8020659849,638.854797363,8.06489845891,352.475846053,775.36556995,397.173378542,558.205812774
72,72,676.511011941,11.9879322751,1002.1013546,13.6879342679,680.888019562,6.25910187993,774.722232056,10.7758171768,556.63168919,865.222011921,618.297000763,666.964060288
73,73,504.46317373,12.2072488981,850.70796903,12.0522028915,516.410199165,8.65029600951,609.431066895,7.37797222375,382.390684749,730.185940115,429.90723907,535.651344657
74,74,634.678064619,10.5905459565,967.692997615,12.1042977067,659.628503799,7.74736429946,746.665184021,13.6770149435,528.772605054,846.650020548,582.154860804,609.895034586
75,75,453.630553654,12.9046610022,799.650170008,11.8159220029,472.449912071,7.89942604704,556.825286865,8.41314072527,324.583943632,681.490949979,393.455651601,472.693879612
76,76,566.263887678,12.9010841992,888.398996989,13.8215609427,579.343120575,7.04205686715,657.289756775,10.4851234857,437.253045686,750.183387562,508.922551903,552.438521918
77,77,762.901535579,17.90845378,1061.17515437,18.598462479,763.702651978,9.10526959684,864.481173706,14.8668847179,583.816997779,875.19052958,672.64995601,715.812326527
78,78,486.226564135,14.4537867731,827.995253881,13.010367399,496.735667229,3.30086442977,584.484700012,9.35086499114,341.688696404,697.891579891,463.727022931,490.976050101
79,79,440.981797423,87.7484447446,812.974654516,12.6787234438,480.542662621,3.57014339145,569.927082825,9.00254290268,-436.502650023,686.187420078,444.841228706,479.901653798
80,80,606.588443211,11.8026220376,909.828269323,14.80712988,620.897680283,5.79530069404,697.679521179,13.6246492267,488.562222835,761.756970523,562.944673343,561.433028912
81,81,576.088869367,12.8280322897,881.327306747,14.4946517634,589.364963532,5.16640649417,664.457963562,11.5124613446,447.80854647,736.380789113,537.70089859,549.333350116
82,82,112.993398394,1.50411102883,443.558249473,2.08720025522,112.290381193,1.05445270169,162.096944809,1.67369037309,97.9522881057,422.686246921,101.745854176,145.360041078
83,83,115.804071494,1.23790595892,452.173048019,2.38262279292,114.8907969,0.998405914916,170.788645172,0.716982715383,103.425011905,428.34682009,104.906737751,163.618818018
84,84,737.808509827,13.4616301335,1015.84298197,14.2977968665,745.578353882,14.4096584159,836.036784363,14.5821341259,603.192208492,872.865013305,601.481769723,690.215443104
85,85,557.439192636,11.4936355916,866.184885661,11.4805452519,570.793912888,7.76324439493,649.361006165,11.7102825253,442.50283672,751.379433142,493.161468939,532.258180912
86,86,502.01357242,13.6593002459,824.298672994,10.3892497581,521.890546799,9.74994706218,594.771229553,10.4703129263,365.420569961,720.406175413,424.391076177,490.06810029
87,87,648.626756941,12.5102625345,958.239748637,9.99289099472,670.479078293,13.2265414505,755.520553589,16.0738187391,523.524131596,858.31083869,538.213663788,594.782366198
88,88,560.138054439,12.7559234261,871.885363261,9.74970794666,569.488298416,15.0757139821,651.741349793,8.12143558456,432.578820178,774.388283794,418.731158595,570.526993947
89,89,723.59009334,12.4106349847,1015.08092817,13.5781917145,729.81375885,17.1945027596,831.862225342,11.0547985083,599.483743493,879.299011025,557.868731254,721.314240259
90,90,679.831352779,12.8017526496,976.482254664,13.992651797,694.647460937,20.5246637796,781.815118408,13.4817689122,551.813826283,836.555736694,489.400823141,646.997429286
91,91,704.375639234,13.0734572451,995.107018153,13.8970680195,716.431367874,16.8076264497,808.419563293,11.4005769886,573.641066783,856.136337958,548.355103377,694.413793407
92,92,957.922937666,13.1359574222,1226.08131409,13.6387189493,951.092250824,17.0257375819,1070.74778137,12.2797959867,826.563363444,1089.6941246,780.834875005,947.949821503
93,93,704.797363281,11.4100989951,1011.27211825,12.9171233829,714.934400558,19.6892693438,815.194918823,10.5725661128,590.69637333,882.100884421,518.04170712,709.469257695
94,94,518.399601528,12.9591326901,832.589672724,9.66503717622,530.680887222,16.2250646601,620.975810242,11.0402894219,388.808274627,735.939300962,368.430240621,510.572916023
95,95,136.281998907,31.0698766967,466.636155764,2.27640494113,125.668014526,1.91123235141,176.585205841,1.4838937446,-174.41676806,443.872106353,106.555691012,161.746268395
96,96,973.647126879,11.6759532251,1214.58497493,13.3883536901,971.1015625,17.318646864,1077.12590942,12.7035594372,856.887594628,1080.70143803,797.91509386,950.090315048
97,97,747.797264099,11.8837103793,1031.72821935,12.8627430126,755.592405319,14.2964458305,854.192507935,11.7717558146,628.960160306,903.100789224,612.627947014,736.474949789
98,98,625.977280753,11.1432450125,936.749657313,11.5256107009,639.322984695,10.3968325553,732.276223755,8.70727573977,514.544830628,821.493550304,535.354659142,645.203466357
99,99,133.02492966,1.18184097205,471.721015294,2.30654416941,130.708007336,1.44381021644,180.773625565,1.47420988183,121.206519939,448.6555736,116.269905172,166.031526747
100,100,904.013017382,13.1340284351,1157.7675794,12.4587260896,905.415216446,8.62162868524,1001.29555206,12.0669040412,772.672733031,1033.1803185,819.198929594,880.626511648
101,101,699.299562727,11.1081167073,993.320283254,11.3614299498,710.138341904,8.74392582968,800.468130493,9.98823896188,588.218395654,879.705983756,622.699083607,700.585740874
102,102,805.1262643,12.3621102363,1092.45291392,11.5358985023,815.554252625,10.1394522237,910.085420227,12.0118293099,681.505161937,977.093928897,714.159730388,789.967127128
103,103,928.538458143,11.6235766226,1200.20090993,12.61794497,933.602321625,10.575331789,1043.53440552,12.8754679843,812.302691917,1074.02146023,827.849003735,914.779725677
104,104,1076.15992492,43.1280516541,1313.01409149,25.6233044161,1050.56621933,23.8631908695,1152.32303772,12.5380033338,644.879408379,1056.78104733,811.934310635,1026.94300438
105,105,1010.78810501,9.106646695,1255.52356974,12.7275163667,999.41434288,10.4619569044,1117.82643433,12.1363949058,919.72163806,1128.24840607,894.794773836,996.462485272
106,106,1182.76922607,14.4998211951,1418.93444443,15.2673838118,1162.67324448,14.26598522,1275.19587097,18.6958658178,1037.77101412,1266.26060631,1020.01339228,1088.23721279
107,107,860.387361254,12.3459546084,1136.92012787,11.9568455309,863.773458481,8.55105516998,957.196212769,12.9756581536,736.92781517,1017.35167256,778.262906781,827.439631233
